,pai,rh100,year,month,polygon_id,number,date,pai_interpolated,rh100_interpolated
69,1.0010165596372027,1097.210698751624,2019,12,6,17703,12-19,0.9091882771855246,1055.8364006370555
77,0.8781953659591138,1051.6921281116386,2020,1,6,38123,01-20,0.9538032499091219,1082.9756225660997
85,1.0458341041995234,1125.2733609137513,2020,2,6,22238,02-20,1.0458341041995234,1125.2733609137513
93,,,2020,3,6,5261,03-20,,
100,0.890819967014244,1069.7977082640612,2020,4,6,39097,04-20,0.890819967014244,1069.7977082640612
108,0.8779390286636349,1095.4991614385988,2020,5,6,80495,05-20,0.8229073055106235,1068.229629590281
116,0.719716756827877,1035.366230210169,2020,6,6,68659,06-20,0.7852542271158347,1061.7665237075337
122,0.7174597010004533,1041.0981568402976,2020,7,6,43675,07-20,0.6798424766353511,1025.5860422294863
129,0.6371995960672109,1012.454506517147,2020,8,6,102729,08-20,0.6421234806375228,1014.0632419401991
136,0.5973964115454432,997.7515219661071,2020,9,6,62255,09-20,0.6518343874073317,1019.9120692857806
143,0.7489917006740953,1062.5229366907618,2020,10,6,50356,10-20,0.8133857093746242,1073.369572805628
151,1.2723675426157202,1217.859409807211,2020,11,6,36361,11-20,1.0679611333308447,1162.9669632513458
159,1.2827775055019068,1239.1895847854228,2020,12,6,40172,12-20,1.1535524586989163,1164.469053542075
167,0.8980602526586065,1031.6926506930267,2021,1,6,37228,01-21,1.1214903702835153,1149.334906277245
175,1.249528644861989,1202.9521587743732,2021,2,6,14360,02-21,0.9456732623978028,1067.0458545872548
183,0.9023223125682246,1056.4126062512548,2021,3,6,59764,03-21,0.9669052776728266,1077.061347866908
189,0.9518655299563948,1033.6421976691388,2021,4,6,13214,04-21,0.9518655299563948,1033.6421976691388
197,,,2021,5,6,2022,05-21,,
205,0.6812381470512006,953.199188690414,2021,6,6,57438,06-21,0.6812381470512006,953.199188690414
213,0.8847569879300651,1115.4621671808518,2021,7,6,68393,07-21,0.7595131028332123,1034.825308766503
221,0.6821704426172935,1019.117595636723,2021,8,6,52621,08-21,0.7376225126598384,1043.2617983795378
229,0.6025226811426816,973.9156881653337,2021,9,6,52887,09-21,0.6952300566883364,1013.0210606946653
236,1.04675020524618,1122.897189209583,2021,10,6,15903,10-21,1.04675020524618,1122.897189209583
244,,,2021,11,6,4319,11-21,,
251,,,2021,12,6,4909,12-21,,
259,,,2022,1,6,3929,01-22,,
267,,,2022,2,6,5835,02-22,,
275,0.9338493356207966,1023.494857385219,2022,3,6,28293,03-22,0.9338493356207966,1023.494857385219
283,0.9553375163118336,1096.93788806623,2022,4,6,46867,04-22,0.9583214114623045,1071.391819150059
291,0.9869608916853299,1076.8249423586497,2022,5,6,29059,05-22,0.9869608916853299,1076.8249423586497
296,,,2022,6,6,94,06-22,,
6,0.6450514154434005,900.9662407689602,2019,4,7,17062,04-19,0.6450514154434005,900.9662407689602
14,0.6199996805103192,943.6254144409652,2019,5,7,43432,05-19,0.5651086859934067,920.1533405567329
22,0.5074682990019217,909.5100578248032,2019,6,7,65024,06-19,0.543533398168995,918.2644452048935
30,0.4278129136529168,855.1588807208916,2019,7,7,8434,07-19,0.4394684819215676,892.9050973694822
38,0.3579256945612792,878.5447858314943,2019,8,7,53019,08-19,0.35510337086374455,878.0588009223674
46,0.33997698409310895,881.3774909285587,2019,9,7,50433,09-19,0.3480478278628066,873.7802664476909
54,0.3460944737034085,863.1367106408625,2019,10,7,59732,10-19,0.38094011027529145,895.9652946094238
62,0.5098340966768865,979.7738376429637,2019,11,7,32176,11-19,0.5498649131051149,959.8104731785368
70,0.8764523354169437,1084.3385582219203,2019,12,7,41213,12-19,0.7454040828250842,1038.1080837021595
78,0.8789913446421355,1036.3708767627222,2020,1,7,16310,01-20,0.9282302098520141,1056.6352630762067
86,0.9734887457823878,1044.1345116651771,2020,2,7,64894,02-20,0.9284574370954449,1025.5364842518768
94,0.8840194625545985,996.4721142737108,2020,3,7,47605,03-20,0.9103081229839297,1018.2843073826468
101,0.8032632296636921,994.265905076848,2020,4,7,26611,04-20,0.7503105286897681,960.1906234056972
109,0.614183720854984,914.0706518884278,2020,5,7,57111,05-20,0.6132851289965955,908.4800324404539
117,0.5566275962237932,879.610739446386,2020,6,7,90135,06-20,0.5566275962237932,879.610739446386
123,,,2020,7,7,570,07-20,,
130,0.5124198405178014,928.4585549712757,2020,8,7,65798,08-20,0.5124198405178014,928.4585549712757
137,0.44119744212741796,911.4546691343196,2020,9,7,81589,09-20,0.47972456957882154,919.324789081572
144,0.5721769378939429,923.1577672164756,2020,10,7,10731,10-20,0.6768604084729889,945.0460567781041
152,1.0350115485939375,997.4125866741755,2020,11,7,56822,11-20,0.9273961447406813,968.4268601857694
160,0.9070332375243227,958.1595388192854,2020,12,7,113101,12-20,0.8965490883127646,954.397455506858
168,0.815614707753922,928.7435143301568,2021,1,7,111862,01-21,0.8600637716288425,942.1352006640542
176,0.8500751548348702,932.9037941971103,2021,2,7,34052,02-21,0.8213790816774085,941.9928767311457
184,0.8156415885858445,972.9225550280535,2021,3,7,57925,03-21,0.8156415885858445,972.9225550280535
190,,,2021,4,7,2015,04-21,,
198,0.6437703325667284,893.4115378682709,2021,5,7,6483,05-21,0.6437703325667284,893.4115378682709
206,0.37693483165911473,805.9430176220898,2021,6,7,69969,06-21,0.4436962691631883,867.2787187889417
214,0.47852297809012534,909.8262871062301,2021,7,7,96884,07-21,0.43659187386672915,869.1003750186934
222,0.4525362685341185,936.6760885082084,2021,8,7,7005,08-21,0.43822684434925907,880.9803526883845
230,0.3692670541454423,826.1323643377477,2021,9,7,58067,09-21,0.3692670541454423,826.1323643377477
237,,,2021,10,7,2161,10-21,,
245,0.7440939327813412,876.8199463906091,2021,11,7,21638,11-21,0.7440939327813412,876.8199463906091
252,0.9592363688619463,987.1493741214272,2021,12,7,29878,12-21,0.8682737757060208,937.287862889122
260,0.864662732985322,916.0092690367242,2022,1,7,8523,01-22,0.8956718406007393,943.4179777476861
268,0.8464755734130248,911.1297544535388,2022,2,7,33232,02-22,0.82808896081661,916.8864843401003
276,0.778707489661843,927.5246173605908,2022,3,7,18686,03-22,0.7366106904070723,899.5758555994048
284,0.6577625785588737,883.474334144738,2022,4,7,56281,04-22,0.6869680517640091,881.3640716780615
292,0.6851718438716674,856.3723832323129,2022,5,7,39266,05-22,0.6696660121714766,878.2107179651142
297,0.6732489296218382,911.1312686961112,2022,6,7,17049,06-22,0.6732489296218382,911.1312686961112
7,,,2019,4,8,890,04-19,,
15,1.497275899017122,1519.0529215933877,2019,5,8,17422,05-19,1.497275899017122,1519.0529215933877
23,1.2080040330837427,1326.3375959079283,2019,6,8,8993,06-19,1.367499884087764,1430.2733552354478
31,1.3282663398274706,1401.2248326925815,2019,7,8,21069,07-19,1.3282663398274706,1401.2248326925815
39,,,2019,8,8,4582,08-19,,
47,0.9783360885441784,1152.8638010273046,2019,9,8,18495,09-19,0.9783360885441784,1152.8638010273046
55,1.0205949993320929,1183.8447174447174,2019,10,8,22385,10-19,1.0962203252691567,1228.2502908806532
63,1.4316444076567592,1435.0825322594612,2019,11,8,11547,11-19,1.1805384127035725,1270.0296257298746
71,1.2671998669546078,1273.0061099796335,2019,12,8,7856,12-19,1.445615024501889,1386.403300108887
79,1.5408354576931986,1406.4318874131839,2020,1,8,16414,01-20,1.6157916643620132,1455.3381043776544
87,1.7764355701620007,1545.8079009147575,2020,2,8,24706,02-20,1.7764355701620007,1545.8079009147575
95,,,2020,3,8,1311,03-20,,
102,1.2490272787980776,1212.2514130207244,2020,4,8,14331,04-20,1.2490272787980776,1212.2514130207244
110,1.679278601387261,1555.7826011359684,2020,5,8,17254,05-20,1.4772538348794961,1419.1097607207369
118,1.4610356612392668,1464.8431890179513,2020,6,8,13258,06-20,1.4787943238309817,1442.0113102406083
124,1.2064984055680295,1250.6340907171214,2020,7,8,11839,07-20,1.3153089099849786,1291.2100235801927
131,1.2894986190915294,1218.1833633994788,2020,8,8,24945,08-20,1.3445832029243556,1293.8433216991573
138,1.4338725037615387,1365.0312778206421,2020,9,8,33698,09-20,1.320902520830318,1282.688447578932
145,1.1935332329399233,1233.5811357317382,2020,10,8,23738,10-20,1.1935332329399233,1233.5811357317382
153,,,2020,11,8,3667,11-20,,
161,2.208820072131359,1840.76367569795,2020,12,8,9707,12-20,2.208820072131359,1840.76367569795
169,,,2021,1,8,1982,01-21,,
177,,,2021,2,8,3123,02-21,,
185,1.5356078992287925,1366.2749162011173,2021,3,8,35800,03-21,1.5356078992287925,1366.2749162011173
191,1.5160858198710125,1366.9760485093482,2021,4,8,19790,04-21,1.664831238158324,1455.9962795641775
199,1.8169160085521665,1555.9226503797163,2021,5,8,49774,05-21,1.5847587810048183,1427.8326569157607
207,1.0587667282267061,1161.0697446479237,2021,6,8,19385,06-21,1.6030423428572869,1453.5694753098046
215,1.5940258433642351,1508.449370709382,2021,7,8,10488,07-21,1.1897453395016828,1267.0589675423182
223,1.143402138255428,1254.0610526889336,2021,8,8,36706,08-21,1.1129441402874158,1232.4800684485006
231,0.677847699846675,972.2430467316109,2021,9,8,14166,09-21,1.0473171189145627,1202.9455498133793
238,1.1381733606960134,1277.029327230147,2021,10,8,18788,10-21,1.1381733606960134,1277.029327230147
246,,,2021,11,8,2155,11-21,,
253,1.6809237386474294,1322.5780544877152,2021,12,8,11966,12-21,1.6809237386474294,1322.5780544877152
261,1.6923296043438085,1444.127974752842,2022,1,8,31053,01-22,1.6650657192917666,1393.464954060262
269,1.6010480231937425,1348.6810797455062,2022,2,8,16189,02-22,1.6362677891688644,1394.8521453758335
277,1.519709171560713,1316.9251294305059,2022,3,8,10044,03-22,1.576750621948821,1344.3753352456913
