,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
3255,1207008000000,2008-04-01,4,2008,-67.59822512999399,0.22457882102988036,242.28619541227818,91.49999856948853,2
4047,1207008000000,2008-04-01,4,2008,-66.25075220381471,0.22457882102988036,220.00700437277555,179.24999713897705,2
1671,1207008000000,2008-04-01,4,2008,-66.69990984587447,-0.6737364630896411,241.38595437258482,175.49999713897705,2
3783,1207008000000,2008-04-01,4,2008,-66.69990984587447,0.22457882102988036,248.17279590666294,158.24999570846558,2
1935,1207008000000,2008-04-01,4,2008,-66.25075220381471,-0.6737364630896411,234.8708755970001,172.1250057220459,2
351,1207008000000,2008-04-01,4,2008,-67.14906748793423,-1.1228941051494017,323.76462292671204,174.375,2
1143,1207008000000,2008-04-01,4,2008,-67.59822512999399,-0.6737364630896411,227.91990515589714,174.7499942779541,2
2463,1207008000000,2008-04-01,4,2008,-67.14906748793423,-0.22457882102988036,229.9346228390932,174.375,2
879,1207008000000,2008-04-01,4,2008,-66.25075220381471,-1.1228941051494017,284.36024037376046,137.43749856948853,2
2727,1207008000000,2008-04-01,4,2008,-66.69990984587447,-0.22457882102988036,235.53893515467644,166.29167159398395,2
2199,1207008000000,2008-04-01,4,2008,-67.59822512999399,-0.22457882102988036,221.2666515558958,107.25000143051147,2
615,1207008000000,2008-04-01,4,2008,-66.69990984587447,-1.1228941051494017,295.95028035342693,167.62500286102295,2
2728,1209600000000,2008-05-01,5,2008,-66.69990984587447,-0.22457882102988036,345.7258546128869,125.05916282335917,2
2992,1209600000000,2008-05-01,5,2008,-66.25075220381471,-0.22457882102988036,369.4745875597,92.22499704360962,2
2464,1209600000000,2008-05-01,5,2008,-67.14906748793423,-0.22457882102988036,342.2258121445775,133.30000591278076,2
352,1209600000000,2008-05-01,5,2008,-67.14906748793423,-1.1228941051494017,399.50615614652634,78.66249704360962,2
4048,1209600000000,2008-05-01,5,2008,-66.25075220381471,0.22457882102988036,373.70187133550644,107.72499704360962,2
