,pai,rh100,year,month,polygon_id,number,date,pai_interpolated
43,3.983858307244409,2966.321100917431,2019,9,4,82404,09-19,3.807850438377507
51,3.5516256886998216,2664.9657269942263,2019,10,4,67896,10-19,3.787422086642181
59,3.784983959586074,2782.385214488812,2019,11,4,72801,11-19,3.6330698623427695
67,3.3130973719048433,2328.478474713575,2019,12,4,17282,12-19,3.721034019007821
75,3.800246031817435,2643.741357064876,2020,1,4,30227,01-20,3.534602475527359
83,3.2563536957143904,2342.8902649006623,2020,2,4,15100,02-20,3.548636952988639
91,3.2870692695569534,2413.3560599852494,2020,3,4,12203,03-20,3.23875387622648
98,2.871177589557284,1948.8057584873227,2020,4,4,2327,04-20,3.5320204891889615
106,3.6198400197354874,2620.300671219058,2020,5,4,51548,05-20,3.6490878215119142
114,3.6963481314049353,2719.6669420545836,2020,6,4,70204,06-20,3.6754845512151726
120,3.7219740529232737,2663.302454211241,2020,7,4,30193,07-20,3.78290499448049
127,3.8314609851192687,2740.9821940074216,2020,8,4,163035,08-20,3.786843378220031
134,3.747425989156724,2701.2554373215676,2020,9,4,134855,09-20,3.774618304596407
141,3.6915532844924877,2610.6915797748475,2020,10,4,67421,10-20,3.707779170497076
149,3.491085857374456,2553.0047898089174,2020,11,4,19625,11-20,3.629988408638626
157,3.5856724331982397,2615.6127336630275,2020,12,4,32151,12-20,3.549048702578138
165,3.546357205874795,2456.3734006734007,2021,1,4,14850,01-21,3.6004309147775473
173,3.685246644326225,2557.704820077015,2021,2,4,15062,02-21,3.552671699161456
181,3.5232287633553283,2538.6341357757287,2021,3,4,64636,03-21,3.5331255326826305
187,3.3695074822233106,2311.193679413513,2021,4,4,10094,04-21,3.4913694545524656
195,3.456858964891193,2583.056020310484,2021,5,4,24027,05-21,3.6113299303487967
203,3.676329768477841,2666.995045059322,2021,6,4,94653,06-21,3.6197443261381035
211,3.5673681441676015,2661.4869634686615,2021,7,4,27538,07-21,3.6496764740193974
219,3.6450325100368643,2563.108283487403,2021,8,4,55170,08-21,3.6018561456245908
227,3.5909446419564457,2665.6190483445826,2021,9,4,131266,09-21,3.6036358837852136
234,3.5802898311779656,2526.9233791748525,2021,10,4,26468,10-21,3.5522572420655636
242,3.3054353599272503,2284.435774564268,2021,11,4,23581,11-21,3.4213149303364006
249,3.0886900091060876,2122.9499436302144,2021,12,4,4435,12-21,3.3059197649915486
257,3.3906218870849685,2429.3691024415675,2022,1,4,11509,01-22,3.272386439010804
265,3.2406155462217536,2235.1417849662557,2022,2,4,17188,02-22,3.3456285716622034
273,3.3847988642388858,2355.615276932441,2022,3,4,32860,03-22,3.3757881650764077
281,3.452224911867552,2426.93688258804,2022,4,4,26522,04-22,3.4059044823721973
289,3.3816037865186783,2419.2762661821484,2022,5,4,22015,05-22,3.3946468594925134
294,3.0490666327445095,2212.566053511706,2022,6,4,3588,06-22,
4,2.836510438502131,2553.74302011408,2019,4,5,9993,04-19,
12,3.277747586543657,2236.2967342160937,2019,5,5,93117,05-19,3.242755736171673
20,3.2525506524790355,2428.0199498808142,2019,6,5,81805,06-19,3.3788097004885125
28,3.5850733217031383,2498.013406618669,2019,7,5,95699,07-19,3.3358647218445294
36,3.1746907848869497,2376.0754134968397,2019,8,5,105684,08-19,3.3661446674952065
44,3.354411794945974,2478.3519496444046,2019,9,5,61165,09-19,3.2182286072882325
52,3.025067616177021,2142.550461092115,2019,10,5,19302,10-19,3.264398077263822
60,2.3611029884448524,1557.9459734964323,2019,11,5,981,11-19,2.9784516056263564
68,2.929893790803995,1848.6337074942226,2019,12,5,6058,12-19,3.2349446940289646
76,3.3058533749263166,2338.0065004849153,2020,1,5,38151,01-20,3.1485137916269137
84,3.0566047431313983,2230.3053181666373,2020,2,5,50901,02-20,3.152488703297975
92,2.030608783235607,1718.3676300578036,2020,3,5,865,03-20,3.056886124951683
99,3.073592657466754,2055.4528466125867,2020,4,5,53994,04-20,2.9843512218538444
107,2.916075506528775,2071.208237164692,2020,5,5,58491,05-20,3.227934592660809
115,3.442206965754426,2449.394567092935,2020,6,5,124022,06-20,3.2860576082162543
121,3.301999378881935,2343.4223960304444,2020,7,5,142686,07-20,3.3139280638529423
128,3.247361587437367,2284.170087756699,2020,8,5,213431,08-20,3.276107415525471
135,3.290562343045586,2309.856269765128,2020,9,5,168858,09-20,3.228145381670212
142,3.007967667566921,2041.5257759865256,2020,10,5,66496,10-20,3.1565512259884922
150,2.81326456031205,2252.7451059590167,2020,11,5,37137,11-20,2.900649888100583
158,2.521338702166592,2008.9409241567557,2020,12,5,10258,12-20,2.7370823110591176
166,2.6790051758322493,2117.194004524887,2021,1,5,10608,01-21,2.594482313758907
174,2.5554034266969285,1964.559829059829,2021,2,5,3744,02-21,2.913934599531359
182,2.981547662687168,2189.0936309775707,2021,3,5,56712,03-21,2.994338262147817
188,3.0768185887796786,2048.228872871618,2021,4,5,28719,04-21,3.034464375764723
196,3.0521746039944144,2143.5283569351686,2021,5,5,100769,05-21,3.3046877794911547
204,3.519595611175258,2411.442685065131,2021,6,5,148853,06-21,3.273034435016755
212,2.821258158474727,2390.7628146989837,2021,7,5,31975,07-21,3.382765417831001
220,3.367235436544043,2384.515122070501,2021,8,5,155402,08-21,3.199617770892717
228,2.9753040247843074,2060.649606045988,2021,9,5,62190,09-21,3.2444762681671806
235,3.084733361454022,2163.44597088374,2021,10,5,14631,10-21,2.9838208739383822
243,2.839975879111668,1996.6906715284108,2021,11,5,6582,11-21,2.9412351882765115
250,2.886302348209154,2001.1899030168283,2021,12,5,26087,12-21,2.8569468960917046
258,2.8396716552067955,1992.1157858595463,2022,1,5,37863,01-22,2.839260023642115
266,2.805957629973809,1899.1527145077443,2022,2,5,37318,02-22,2.9170959787531876
274,3.05905883972152,2080.133640830242,2022,3,5,49865,03-22,2.9460533749963793
282,2.9385476203940204,2116.810919487227,2022,4,5,54215,04-22,3.0687256746129137
290,3.206925688018161,2323.5174866192538,2022,5,5,54556,05-22,3.0631345223666275
295,2.9708860926119987,1973.93281435099,2022,6,5,11818,06-22,
5,0.9466031356125675,1200.5329282150092,2019,4,6,20241,04-19,
13,0.6903375888000411,1018.3096103896104,2019,5,6,57750,05-19,0.7371289337168735
21,0.6971464280195783,1023.4125217753049,2019,6,6,38461,06-19,0.6810611867288918
29,0.6542833286275681,1027.2774130691967,2019,7,6,43109,07-19,0.6615937296083408
37,0.6391921231680261,1049.0086008686026,2019,8,6,46972,08-19,0.5985379414555301
45,0.5226362146164111,957.9532030975009,2019,9,6,56820,09-19,0.5894895177539411
53,0.6360639428092674,964.3155600801705,2019,10,6,31433,10-19,0.5969772750538879
