,month,polygon_id,year,precipitation,ET,PET,datetime,water_deficit
731,8,1,2013,332.8322061893252,130.33399880467155,161.46215807454578,2013-08-01,171.3700481147794
732,8,1,2014,294.5746660275502,134.2426688965106,167.96420251509826,2014-08-01,126.61046351245196
733,8,1,2015,300.98701496167644,138.6211799849761,173.5757908221071,2015-08-01,127.41122413956933
734,8,1,2016,239.88700984187963,134.28738494758886,169.43563233812392,2016-08-01,70.45137750375571
735,8,1,2017,218.73510926931255,136.30879442255687,168.29873463088316,2017-08-01,50.436374638429385
736,8,1,2018,233.0833028794344,137.36843062293386,175.4745655600905,2018-08-01,57.6087373193439
737,8,1,2019,204.98532204364443,149.25058560398108,191.20723992169192,2019-08-01,13.778082121952508
738,8,1,2020,193.79942652207947,135.8564480637481,171.1548030317107,2020-08-01,22.644623490368758
739,8,1,2021,299.2758826939449,125.53871069228595,155.27261380821406,2021-08-01,144.00326888573082
740,8,1,2022,262.68892238072686,138.6691625585044,175.49416496832245,2022-08-01,87.19475741240441
741,8,2,2010,173.07365424966045,125.6137381417374,156.48143740452375,2010-08-01,16.592216845136704
742,8,2,2011,104.53087949298538,132.94697043113018,164.7194015160428,2011-08-01,-60.18852202305743
743,8,2,2012,153.53643347786593,131.232349340073,163.0731616949942,2012-08-01,-9.536728217128285
744,8,2,2013,290.4854831350396,116.86692081033215,143.07439404952376,2013-08-01,147.41108908551584
745,8,2,2014,254.0171082281558,125.2630282074071,154.92402492979556,2014-08-01,99.09308329836023
746,8,2,2015,213.3695142266028,128.1113383331003,159.12690124247658,2015-08-01,54.242612984126225
747,8,2,2016,157.3009493059745,127.00699709106307,156.30286994027108,2016-08-01,0.9980793657034326
748,8,2,2017,187.13966067184822,129.23911804412424,157.4641060905642,2017-08-01,29.67555458128402
749,8,2,2018,230.52420724774228,129.1125569420251,159.76769511646143,2018-08-01,70.75651213128086
750,8,2,2019,209.03566467696052,132.29842410309104,165.2579214937046,2019-08-01,43.77774318325592
751,8,2,2020,152.32806278179999,130.086890879377,163.88264065549515,2020-08-01,-11.554577873695166
752,8,2,2021,127.59115354895003,127.3095623450049,156.47214266896796,2021-08-01,-28.88098912001793
753,8,2,2022,247.20899448373325,116.32993570385132,141.97207437903174,2022-08-01,105.23692010470151
754,8,3,2010,73.42021489493987,141.72513022628831,176.69212332938312,2010-08-01,-103.27190843444325
755,8,3,2011,80.38141112372199,141.14126095007484,174.06769371335542,2011-08-01,-93.68628258963344
756,8,3,2012,97.59486992776712,147.11445692726096,185.89664357704387,2012-08-01,-88.30177364927675
757,8,3,2013,110.22703671359761,128.0611586812842,155.5073326171813,2013-08-01,-45.28029590358369
758,8,3,2014,91.5275947179466,136.85766947589545,169.30154272071042,2014-08-01,-77.77394800276382
759,8,3,2015,56.14384047579478,148.59115512112564,188.28251757908424,2015-08-01,-132.13867710328947
760,8,3,2016,89.67042608281044,142.95141224399543,180.09839282254424,2016-08-01,-90.4279667397338
761,8,3,2017,57.67994509685167,148.47020216660647,185.15897287519667,2017-08-01,-127.479027778345
762,8,3,2018,75.15631370819749,144.51504051940748,179.9977143890574,2018-08-01,-104.8414006808599
763,8,3,2019,88.27134163303171,139.7502848696145,173.32307308460173,2019-08-01,-85.05173145157002
764,8,3,2020,57.577429051625536,157.27937153960298,201.50530903134705,2020-08-01,-143.92787997972152
765,8,3,2021,157.21518888009743,136.49024884239205,167.68914218433383,2021-08-01,-10.473953304236403
766,8,3,2022,89.57229876382785,134.39120237719166,165.00688104398222,2022-08-01,-75.43458228015437
767,8,4,2010,132.64657794382222,157.35136857299383,204.02235631426203,2010-08-01,-71.3757783704398
768,8,4,2011,128.28541883725293,164.66061045801354,212.49685752434993,2011-08-01,-84.211438687097
769,8,4,2012,92.54502328007553,160.06485440496016,207.078263459117,2012-08-01,-114.53324017904148
770,8,4,2013,204.7832297228792,142.7771463155421,179.82811991749145,2013-08-01,24.955109805387764
771,8,4,2014,80.51933167106384,166.56730171846635,215.33640160170987,2014-08-01,-134.81706993064603
772,8,4,2015,82.06319458730256,167.99566540071444,221.77933416837402,2015-08-01,-139.71613958107145
773,8,4,2016,103.02901734731428,161.12873977630284,207.61751699343412,2016-08-01,-104.58849964611984
774,8,4,2017,64.08721471281542,180.84878421099273,235.4857328470272,2017-08-01,-171.39851813421177
775,8,4,2018,69.85820846760082,166.74670584826507,216.58760363905805,2018-08-01,-146.7293951714572
776,8,4,2019,128.33387379051004,164.22005487129306,211.11953050401874,2019-08-01,-82.7856567135087
777,8,4,2020,123.9712430612655,178.65912261498013,233.8372882947908,2020-08-01,-109.8660452335253
778,8,4,2021,147.93844348665746,149.95660414775574,192.47146828590215,2021-08-01,-44.533024799244686
779,8,4,2022,116.2845793775513,168.41690932346205,217.59821857043985,2022-08-01,-101.31363919288856
780,8,5,2010,9.606434693275872,135.65566163616054,192.91240488314006,2010-08-01,-183.30597018986418
781,8,5,2011,9.121331155225308,160.81380934119875,241.3032958633975,2011-08-01,-232.1819647081722
782,8,5,2012,7.643951677557664,162.09674965854978,233.34290139075534,2012-08-01,-225.6989497131977
783,8,5,2013,17.379921928543904,161.10067789269422,228.34560813986238,2013-08-01,-210.96568621131848
784,8,5,2014,21.977004013155813,160.78001451178804,233.70071939589738,2014-08-01,-211.72371538274157
785,8,5,2015,8.266589493176808,157.05108657111597,229.59171123733668,2015-08-01,-221.32512174415987
786,8,5,2016,28.814179874446808,148.2922176638338,218.26797675323576,2016-08-01,-189.45379687878895
787,8,5,2017,8.091612665891198,156.4903373014137,236.74418318504686,2017-08-01,-228.65257051915566
788,8,5,2018,30.99529607841463,143.8103707947951,219.00023164171043,2018-08-01,-188.0049355632958
789,8,5,2019,10.126167257103019,155.04506164540874,225.6846225397068,2019-08-01,-215.55845528260377
790,8,5,2020,7.687744540982626,160.76337538590377,235.69307145185465,2020-08-01,-228.00532691087201
791,8,5,2021,15.150708922483751,151.3673962811008,229.4335929595441,2021-08-01,-214.28288403706034
792,8,5,2022,4.7625226515385615,155.0684653630603,229.108918402217,2022-08-01,-224.34639575067843
793,8,6,2010,0.0029976003400741086,26.963900888150096,232.87656439318397,2010-08-01,-232.8735667928439
794,8,6,2011,0.0,32.70161077516264,232.1477300649921,2011-08-01,-232.1477300649921
795,8,6,2012,0.0,24.12057117169942,242.63601490401382,2012-08-01,-242.63601490401382
796,8,6,2013,0.03646822995251029,28.36005286970492,229.44281499411872,2013-08-01,-229.40634676416622
797,8,6,2014,0.0097321996682694,34.9301492971287,230.97942366593978,2014-08-01,-230.9696914662715
798,8,6,2015,0.03190924105223035,33.96460777439459,230.80455365813307,2015-08-01,-230.77264441708084
799,8,6,2016,0.6572596703806232,14.991419077171363,240.68624940685405,2016-08-01,-240.02898973647342
800,8,6,2017,0.0,17.415863895826746,241.29590916355284,2017-08-01,-241.29590916355284
801,8,6,2018,3.625310228406839,33.672643343130936,220.84903747305538,2018-08-01,-217.22372724464853
802,8,6,2019,0.6006684059612153,28.718849758236733,225.61674783173945,2019-08-01,-225.01607942577823
803,8,6,2020,0.002197168844262349,39.91965648794878,224.90172424279845,2020-08-01,-224.89952707395418
804,8,6,2021,0.0015300290189505699,21.019133893036326,237.73762255587224,2021-08-01,-237.7360925268533
805,8,6,2022,0.26874662764610785,25.308685995566478,237.04630050570327,2022-08-01,-236.77755387805718
806,8,7,2010,0.0,23.15380255769795,237.58362390228922,2010-08-01,-237.58362390228922
807,8,7,2011,0.0,29.458041723293658,241.6990728495241,2011-08-01,-241.6990728495241
808,8,7,2012,0.0,17.652017149174096,249.65869574971683,2012-08-01,-249.65869574971683
809,8,7,2013,0.0017607302619860722,18.921229500374054,248.36321943813144,2013-08-01,-248.36145870786945
810,8,7,2014,0.0,22.89410003496343,245.33503269737315,2014-08-01,-245.33503269737315
811,8,7,2015,0.06057173506571696,20.23078231579572,244.78441719406814,2015-08-01,-244.72384545900243
812,8,7,2016,0.4851249078527475,17.82248058069887,248.62374542176974,2016-08-01,-248.138620513917
813,8,7,2017,0.0,17.623030634331624,251.1504890806528,2017-08-01,-251.1504890806528
814,8,7,2018,0.34387984234147717,20.996640625969402,242.37511452137196,2018-08-01,-242.0312346790305
815,8,7,2019,0.0,22.964446341283654,243.55289627080396,2019-08-01,-243.55289627080396
816,8,7,2020,0.0003782547055146633,34.951185092616775,236.95809639734316,2020-08-01,-236.95771814263765
817,8,7,2021,0.0,20.483227302944,244.048661493658,2021-08-01,-244.048661493658
818,8,7,2022,0.020386584255939876,21.5455546707049,246.56168679549523,2022-08-01,-246.5413002112393
819,8,8,2010,5.883474881729383,60.99137611660457,173.57759623965745,2010-08-01,-167.69412135792808
820,8,8,2011,5.618213117162045,63.062525449210796,179.75276361318362,2011-08-01,-174.13455049602157
821,8,8,2012,21.290274877409363,53.26676210444132,174.26319762206683,2012-08-01,-152.97292274465747
822,8,8,2013,9.232023438763997,63.95725556951215,171.53951161012856,2013-08-01,-162.30748817136455
823,8,8,2014,11.076975398090646,60.397294623051586,177.7988423156567,2014-08-01,-166.72186691756608
824,8,8,2015,12.223096823645017,62.01176758896775,176.56012275040598,2015-08-01,-164.33702592676096
825,8,8,2016,10.629309779157404,56.563462672415184,173.78053538945036,2016-08-01,-163.15122561029295
826,8,8,2017,6.343210778406576,60.489721756508395,173.67823529684935,2017-08-01,-167.33502451844276
827,8,8,2018,9.626587618242015,59.21702194131463,173.68946376160915,2018-08-01,-164.06287614336713
828,8,8,2019,17.614772146337486,65.2275058253399,171.5858630775988,2019-08-01,-153.9710909312613
829,8,8,2020,12.790294568243601,81.47532878049049,176.84514248713484,2020-08-01,-164.05484791889123
830,8,8,2021,10.198637297274809,48.54081017706447,167.28673570559747,2021-08-01,-157.08809840832265
831,8,8,2022,7.615967010142942,58.775931784192586,172.18593027466707,2022-08-01,-164.56996326452412
832,9,1,2010,206.8066184663221,126.22922415603328,156.3541610973676,2010-09-01,50.4524573689545
833,9,1,2011,275.81657218177446,132.02091188688908,165.26471368242892,2011-09-01,110.55185849934554
834,9,1,2012,220.78522795036292,151.3607450546608,192.44147378325516,2012-09-01,28.34375416710776
835,9,1,2013,291.75796182235285,143.0740024631145,179.65463808847545,2013-09-01,112.1033237338774
836,9,1,2014,218.39215998370727,139.9498424963627,173.8002958099412,2014-09-01,44.59186417376608
837,9,1,2015,151.56827922577554,145.18973818437277,179.64395765581548,2015-09-01,-28.075678430039943
838,9,1,2016,220.8827314814931,129.92505282301445,161.5877058651259,2016-09-01,59.295025616367184
839,9,1,2017,320.78040331574806,129.22771149872005,158.793805142889,2017-09-01,161.98659817285906
840,9,1,2018,182.65675695059528,151.80391514501397,194.03460943227853,2018-09-01,-11.377852481683249
841,9,1,2019,232.7873179256763,143.3380315746673,177.76279024959,2019-09-01,55.02452767608628
842,9,1,2020,285.4831499759579,136.86929822788514,172.82503543190396,2020-09-01,112.65811454405392
843,9,1,2021,216.26802459253759,143.94742973074017,180.53631822296265,2021-09-01,35.73170636957494
844,9,1,2022,118.86645297204818,135.57442372394962,169.4151257057361,2022-09-01,-50.54867273368792
845,9,2,2010,176.60608805390905,118.65699193256383,144.92759535210303,2010-09-01,31.67849270180602
846,9,2,2011,207.7698170728407,122.93388349024399,150.2487273721194,2011-09-01,57.52108970072132
847,9,2,2012,233.59398107537478,131.37482566758862,161.41274011350308,2012-09-01,72.18124096187171
848,9,2,2013,240.53655453331024,113.88528599872738,141.63721939221048,2013-09-01,98.89933514109975
849,9,2,2014,167.46508991123346,130.16826102562288,160.52581773401354,2014-09-01,6.9392721772199195
850,9,2,2015,84.14775776474532,139.88855261472995,173.09694140200938,2015-09-01,-88.94918363726406
851,9,2,2016,193.72752689450667,123.92018831872139,150.4777584988682,2016-09-01,43.249768395638455
852,9,2,2017,178.72185401191928,117.87609732180121,142.49720554486484,2017-09-01,36.224648467054436
853,9,2,2018,184.34949447497607,136.18454944741796,166.52930869389687,2018-09-01,17.820185781079203
854,9,2,2019,184.42112976796514,126.43875395858274,153.2747261859042,2019-09-01,31.14640358206094
855,9,2,2020,90.95723366290909,128.846139716002,160.99173768063008,2020-09-01,-70.03450401772099
856,9,2,2021,240.60240862208224,123.95447297846856,154.1606559216644,2021-09-01,86.44175270041785
857,9,2,2022,173.02105522778584,127.95652839690133,155.7227337250183,2022-09-01,17.29832150276755
858,9,3,2010,75.96645089517781,117.94627337847159,140.48729860368354,2010-09-01,-64.52084770850573
859,9,3,2011,131.59584084878313,129.16700024155207,156.71523861504383,2011-09-01,-25.119397766260704
860,9,3,2012,103.78032147673203,124.2849967433825,148.9422177243688,2012-09-01,-45.16189624763676
861,9,3,2013,171.48850682842294,127.16054631446217,155.27166266824503,2013-09-01,16.216844160177914
862,9,3,2014,82.9617275311985,138.72540896300228,171.315363676025,2014-09-01,-88.35363614482648
863,9,3,2015,34.55304444489632,146.39397133453434,182.23844409010368,2015-09-01,-147.68539964520735
864,9,3,2016,159.27282628955223,121.41054719511678,148.85705134593576,2016-09-01,10.41577494361647
865,9,3,2017,215.13234846243043,115.71419528752412,139.1182861039384,2017-09-01,76.01406235849203
866,9,3,2018,159.86733897396905,139.66194175852326,172.2559232772902,2018-09-01,-12.388584303321153
867,9,3,2019,213.27093068458498,128.35965441339428,155.23360298261798,2019-09-01,58.037327701967
868,9,3,2020,122.61176851978051,121.57490779613299,147.29224936331494,2020-09-01,-24.680480843534426
869,9,3,2021,183.09022606128357,134.16723851354007,163.7577137702617,2021-09-01,19.332512291021885
870,9,3,2022,95.23443672090796,131.55460812504265,158.86634085530548,2022-09-01,-63.631904134397516
871,9,4,2010,81.06917966182438,156.3224105792303,200.61737963250766,2010-09-01,-119.54819997068329
872,9,4,2011,72.97184490641507,151.66848285042025,193.05790662498111,2011-09-01,-120.08606171856604
873,9,4,2012,82.68801447932364,157.64150387315024,200.8357786867139,2012-09-01,-118.14776420739025
874,9,4,2013,92.99065664401238,148.31329894373377,190.14131866999602,2013-09-01,-97.15066202598365
875,9,4,2014,30.928273132035844,172.29280883930065,225.2571850110757,2014-09-01,-194.32891187903985
876,9,4,2015,24.05413794375423,181.65918632049878,244.95729124431932,2015-09-01,-220.9031533005651
877,9,4,2016,84.18157891916061,155.37550225647183,200.25718464763622,2016-09-01,-116.07560572847561
878,9,4,2017,65.05196370818236,161.95815839233998,210.7545934257346,2017-09-01,-145.70262971755227
879,9,4,2018,98.6615143113932,166.04071956482457,214.81214793365936,2018-09-01,-116.15063362226616
880,9,4,2019,77.42996529601,162.38105087448275,207.97079851116135,2019-09-01,-130.54083321515134
881,9,4,2020,42.91937925780323,162.45309369324283,207.75048545620288,2020-09-01,-164.83110619839965
882,9,4,2021,79.02481600367192,150.54351415111006,192.34118094257371,2021-09-01,-113.3163649389018
883,9,4,2022,38.34182449479335,177.03952146178173,230.24211569344936,2022-09-01,-191.90029119865602
884,9,5,2010,42.536134360349934,91.77179302641737,142.67523796798986,2010-09-01,-100.13910360763992
885,9,5,2011,55.75788942359187,129.02455648355647,234.9861681734429,2011-09-01,-179.22827874985103
886,9,5,2012,70.1466385967239,130.63212715027225,186.9795869626681,2012-09-01,-116.83294836594419
887,9,5,2013,149.23129213365158,150.80221883762715,209.24356320993454,2013-09-01,-60.01227107628296
888,9,5,2014,72.77463068523575,153.20921528305348,231.830240965283,2014-09-01,-159.05561028004723
889,9,5,2015,54.60304319050353,143.33830782967905,228.21091455094526,2015-09-01,-173.60787136044172
890,9,5,2016,123.45074136335096,127.47497233507161,181.1660384613446,2016-09-01,-57.715297097993655
891,9,5,2017,32.416699264607786,107.48897613334029,193.173146965969,2017-09-01,-160.75644770136122
892,9,5,2018,91.13308405950993,130.09156425037511,196.04060368801294,2018-09-01,-104.90751962850301
893,9,5,2019,95.34545468401026,136.8643187805685,228.6479270569355,2019-09-01,-133.30247237292522
894,9,5,2020,76.4909399700309,125.59856697287061,198.1358452735983,2020-09-01,-121.64490530356741
895,9,5,2021,94.084783025867,146.78243215413647,197.96685093092628,2021-09-01,-103.88206790505929
896,9,5,2022,83.7796211004381,141.11001748002067,216.84974636860565,2022-09-01,-133.07012526816754
897,9,6,2010,17.377954165243334,14.151853374657547,248.94759473300297,2010-09-01,-231.56964056775965
898,9,6,2011,3.7236963251546706,17.583890789853143,247.11690391162952,2011-09-01,-243.39320758647486
899,9,6,2012,23.30161050288908,8.959189710903875,254.71624550410434,2012-09-01,-231.41463500121526
900,9,6,2013,26.496412829103704,25.038467512213565,224.39915314839288,2013-09-01,-197.9027403192892
901,9,6,2014,17.119495725631715,19.76126749867646,250.36259376868745,2014-09-01,-233.24309804305574
902,9,6,2015,18.464941450313628,12.888510458402736,251.8211827671565,2015-09-01,-233.35624131684287
903,9,6,2016,45.66870925952112,12.036306703989078,234.79973270086353,2016-09-01,-189.1310234413424
904,9,6,2017,9.052265094557116,14.849775998119743,254.5019478554627,2017-09-01,-245.44968276090557
905,9,6,2018,13.14803200227599,17.44418714833549,242.4697485232422,2018-09-01,-229.32171652096622
906,9,6,2019,25.228187877259153,13.637751110363226,246.58234268875646,2019-09-01,-221.3541548114973
907,9,6,2020,18.873489556367932,21.776297318226007,244.82649699787888,2020-09-01,-225.95300744151095
908,9,6,2021,18.70294643964515,4.882835641349231,253.18061422222672,2021-09-01,-234.47766778258156
909,9,6,2022,39.202340192809814,17.448338780058638,240.69818613865053,2022-09-01,-201.4958459458407
910,9,7,2010,1.6857005996677357,17.212200124646163,261.0872407467407,2010-09-01,-259.401540147073
911,9,7,2011,1.9134755505010104,20.464042871641496,258.26350275514903,2011-09-01,-256.35002720464803
912,9,7,2012,5.463662088509554,9.954993120101697,264.19606266705307,2012-09-01,-258.7324005785435
913,9,7,2013,9.175125821125812,13.632599241868538,264.13454297457093,2013-09-01,-254.95941715344512
