,month,polygon_id,year,datetime,date,precipitation,radiation,temperature,fpar,PET,P-PET
559,4,2,2010,2010-04-01,04-10,367.3782407357855,12220959.075242719,29.53080119965727,83.2600089968511,136.51521427756853,230.86302645821695
560,4,2,2011,2011-04-01,04-11,320.8601558251867,12868413.502427185,28.78763879447091,86.94422764227642,131.20685407508367,189.65330175010305
561,4,2,2012,2012-04-01,04-12,333.7396813558722,12864728.117718447,28.001059602649036,79.74696356275304,118.27981242825284,215.45986892761937
562,4,2,2013,2013-04-01,04-13,335.9851274966326,13444849.084951457,29.98981832332669,87.44268774703558,153.65216112954536,182.3329663670872
563,4,2,2014,2014-04-01,04-14,436.7278135329196,12430709.30946602,30.351776968225085,87.7933390264731,144.51541669410577,292.2123968388138
564,4,2,2015,2015-04-01,04-15,403.7787263368808,13391439.233009709,29.774655942806106,84.44652406417113,145.37638758380663,258.4023387530742
565,4,2,2016,2016-04-01,04-16,380.06090937598236,12268946.080097087,29.555745967741963,85.73080808080807,129.48199954224253,250.57890983373983
566,4,2,2017,2017-04-01,04-17,352.07994719370475,14260567.703883495,29.45446979865775,83.72784810126582,152.54793417723494,199.53201301646982
567,4,2,2018,2018-04-01,04-18,414.12529190680357,12491511.376213592,29.629591633466166,86.48665991219183,141.58151504421977,272.5437768625838
568,4,2,2019,2019-04-01,04-19,281.35267183575235,13504651.622572815,29.66346955697705,88.6781746031746,133.80351735407712,147.54915448167523
569,4,2,2020,2020-04-01,04-20,399.3012685079887,13125793.860436894,29.254003079291795,87.7003350083752,128.85001252255338,270.4512559854353
570,4,2,2021,2021-04-01,04-21,210.84077938653311,13520198.492718447,28.207947154471576,82.3491847826087,110.89509777310606,99.94568161342706
571,4,2,2022,2022-04-01,04-22,354.8996567176384,13897693.104368933,28.713971038251398,86.60236098167132,140.64222149002833,214.25743522761005
572,4,3,2001,2001-04-01,04-01,339.86922395057974,12255681.83375,27.592128291316556,85.43104410943607,133.22024606444,206.64897788613973
573,4,3,2002,2002-04-01,04-02,337.7295697231591,12225686.7525,29.456972937809034,86.37220357941835,140.59649961613488,197.13307010702422
574,4,3,2003,2003-04-01,04-03,330.03144762054086,11876916.42125,29.21505180327872,85.47959795979598,139.56078835352417,190.47065926701669
575,4,3,2004,2004-04-01,04-04,301.8286645436287,12763717.64625,27.699400058021496,80.25863991081383,118.35463908139565,183.47402546223304
576,4,3,2005,2005-04-01,04-05,341.5368979756534,11111765.69875,28.33707792207795,84.98484848484848,133.02306845829452,208.5138295173589
577,4,3,2006,2006-04-01,04-06,279.4596698343754,12455607.29375,28.5852587848933,83.44153104279687,141.88243775389068,137.57723208048472
578,4,3,2007,2007-04-01,04-07,293.25657241106035,11208496.11,27.790241491085933,84.96414342629483,117.785577719805,175.47099469125533
579,4,3,2008,2008-04-01,04-08,240.05485459521412,11525735.5625,28.62116115422129,86.00764087870105,131.39610766873847,108.65874692647566
580,4,3,2009,2009-04-01,04-09,262.1451686039567,12649261.675,28.39001763265309,82.23762376237623,132.825983374467,129.31918522948968
581,4,3,2010,2010-04-01,04-10,394.69598704606295,10390874.27375,27.6300539146742,81.6327485380117,111.07820826235096,283.61777878371197
582,4,3,2011,2011-04-01,04-11,292.87354508057234,10546401.955,28.128753278438577,86.75990467679475,126.67231495875623,166.2012301218161
583,4,3,2012,2012-04-01,04-12,300.08002527698875,12231286.07875,27.92358836689041,84.67993702204228,124.2066116334418,175.87341364354694
584,4,3,2013,2013-04-01,04-13,332.30005842387675,12666289.63125,28.13086021505379,80.87671232876713,150.20820856879016,182.0918498550866
585,4,3,2014,2014-04-01,04-14,292.86896834537384,11791536.4575,28.295103354540224,85.35945663531871,135.6318624580995,157.23710588727434
586,4,3,2015,2015-04-01,04-15,237.21806559696793,12737628.63375,28.158655131617895,85.37940379403794,143.94741184668138,93.27065375028656
587,4,3,2016,2016-04-01,04-16,304.5571131139994,11931007.2175,29.351394366197212,87.33486707566462,122.55203507330177,182.0050780406976
588,4,3,2017,2017-04-01,04-17,343.22181824088096,12286267.16625,27.815496696286196,82.89032258064516,108.90083390572633,234.32098433515463
589,4,3,2018,2018-04-01,04-18,309.5077707900107,12203665.5075,27.684580734580763,81.70949720670392,120.94404001865428,188.5637307713564
590,4,3,2019,2019-04-01,04-19,387.4105424436927,12765094.57125,28.26338187009282,86.42219880576046,121.88066168634455,265.5298807573481
591,4,3,2020,2020-04-01,04-20,308.06323234111073,10905852.555,27.05553710247353,84.75675675675676,116.39194728231354,191.6712850587972
592,4,3,2021,2021-04-01,04-21,365.68348110482094,12316464.7,27.70573025856048,80.56291834002678,111.13812922422126,254.5453518805997
593,4,3,2022,2022-04-01,04-22,349.7634369985759,12160292.64,27.760825740318936,83.13535031847134,112.97719878671974,236.7862382118562
594,4,4,2001,2001-04-01,04-01,392.70146040171386,12722148.33625,27.179379844961275,82.61111111111111,118.81049764146063,273.8909627602532
595,4,4,2002,2002-04-01,04-02,471.40704756081107,11793812.685,28.059552631578978,86.96864820846906,125.73998170090725,345.6670658599038
596,4,4,2003,2003-04-01,04-03,362.0373564398289,11734160.5025,28.164277286135725,86.61212976022567,166.43284436437273,195.60451207545617
597,4,4,2004,2004-04-01,04-04,393.05841614842416,12602380.0,28.765934579439282,80.47252747252747,127.26320143946172,265.7952147089624
598,4,4,2005,2005-04-01,04-05,344.55149540036916,11833827.60125,26.347812500000032,84.96264367816092,144.24832329144022,200.30317210892895
599,4,4,2006,2006-04-01,04-06,320.5132839791477,11802485.12625,27.29622395833336,85.89563862928348,127.41391515675939,193.09936882238827
600,4,4,2007,2007-04-01,04-07,479.9514247894287,11432987.67125,26.610521945433007,86.30486542443064,135.8993434156026,344.0520813738261
601,4,4,2008,2008-04-01,04-08,378.5341870115697,12477725.675,28.80435185185188,86.33783783783784,127.94789804913363,250.58628896243607
602,4,4,2009,2009-04-01,04-09,254.3266480281204,14224026.035,27.687628650904063,84.47565922920893,134.1266148203076,120.2000332078128
603,4,4,2010,2010-04-01,04-10,452.08634552791716,11570297.08,28.4607053941909,84.77490039840637,130.11229293116492,321.97405259675224
604,4,4,2011,2011-04-01,04-11,487.2360210266709,10599072.85125,27.359309407286602,84.02815699658703,125.22127096183263,362.01475006483827
605,4,4,2012,2012-04-01,04-12,294.4663602359593,13043079.705,27.576779661016975,83.36258278145695,133.99553670776976,160.47082352818956
