,pai,rh100,year,month,polygon_id,number,datetime,date
83,4.147330291090613,2983.0969433894015,2020.0,2.0,4.0,8074,2020-02-01,02-20
91,3.933885649818194,2896.2914955221872,2020.0,3.0,4.0,5607,2020-03-01,03-20
98,4.099484732934278,3015.975592703235,2020.0,4.0,4.0,1170,2020-04-01,04-20
106,4.147490852548292,3082.8970853878827,2020.0,5.0,4.0,24689,2020-05-01,05-20
114,4.179323094839284,3094.417426983378,2020.0,6.0,4.0,35590,2020-06-01,06-20
120,4.269782578319926,3145.387617704243,2020.0,7.0,4.0,16005,2020-07-01,07-20
127,4.299192392283843,3145.2005990612647,2020.0,8.0,4.0,79560,2020-08-01,08-20
134,4.287343598693043,3123.6396279038695,2020.0,9.0,4.0,66355,2020-09-01,09-20
141,4.24572732229916,3088.8295178411563,2020.0,10.0,4.0,33716,2020-10-01,10-20
149,4.168005786214406,3022.632673267327,2020.0,11.0,4.0,9395,2020-11-01,11-20
157,4.112051100768011,3015.9309241361475,2020.0,12.0,4.0,15469,2020-12-01,12-20
165,4.158558396414281,2996.5375952997133,2021.0,1.0,4.0,6073,2021-01-01,01-21
173,4.102217778404252,2973.405347450245,2021.0,2.0,4.0,7052,2021-02-01,02-21
181,4.08323953938051,2958.7976516988915,2021.0,3.0,4.0,31644,2021-03-01,03-21
187,4.0398918073594805,2986.2837959367207,2021.0,4.0,4.0,5421,2021-04-01,04-21
195,4.15383672537697,3081.9379765509743,2021.0,5.0,4.0,11861,2021-05-01,05-21
203,4.147677957470606,3103.3686520203137,2021.0,6.0,4.0,47113,2021-06-01,06-21
211,4.1882077005942655,3077.430282891986,2021.0,7.0,4.0,13490,2021-07-01,07-21
219,4.180377388166439,3155.605485996858,2021.0,8.0,4.0,27876,2021-08-01,08-21
227,4.191277101890709,3141.4063987209993,2021.0,9.0,4.0,66217,2021-09-01,09-21
234,4.148115676011684,3131.848485844869,2021.0,10.0,4.0,13491,2021-10-01,10-21
242,4.011785206415747,2840.045879323032,2021.0,11.0,4.0,11531,2021-11-01,11-21
249,3.905148721134945,2766.5577785799,2021.0,12.0,4.0,2158,2021-12-01,12-21
257,3.9058244855331234,2726.4694072657744,2022.0,1.0,4.0,5704,2022-01-01,01-22
265,4.004139784289157,2789.611477210324,2022.0,2.0,4.0,9920,2022-02-01,02-22
272,4.003638470497466,2800.8579487307493,2022.0,3.0,4.0,17154,2022-03-01,03-22
280,4.039360540214016,2866.031243954343,2022.0,4.0,4.0,12989,2022-04-01,04-22
288,3.978718746775324,2869.835681645088,2022.0,5.0,4.0,11209,2022-05-01,05-22
294,,,2022.0,6.0,4.0,2062,2022-06-01,06-22
4,,,2019.0,4.0,5.0,4280,2019-04-01,04-19
12,3.8692146889991994,2670.7522682062977,2019.0,5.0,5.0,42174,2019-05-01,05-19
20,3.9306551765534974,2685.4696187142517,2019.0,6.0,5.0,35990,2019-06-01,06-19
28,3.855930430851701,2716.9356120260527,2019.0,7.0,5.0,44395,2019-07-01,07-19
36,3.8122140792679136,2705.911976390267,2019.0,8.0,5.0,45974,2019-08-01,08-19
44,3.6835955016044752,2667.5775077086146,2019.0,9.0,5.0,28565,2019-09-01,09-19
52,3.695557725250843,2684.970364619586,2019.0,10.0,5.0,8485,2019-10-01,10-19
60,3.5645926448723024,2477.5680626021153,2019.0,11.0,5.0,304,2019-11-01,11-19
68,3.7808095801945885,2667.5863788179486,2019.0,12.0,5.0,2840,2019-12-01,12-19
76,3.7375730637932545,2618.737478326699,2020.0,1.0,5.0,17515,2020-01-01,01-20
84,3.747118946670049,2648.159732521531,2020.0,2.0,5.0,20594,2020-02-01,02-20
92,3.7246727573374576,2504.0082640854716,2020.0,3.0,5.0,324,2020-03-01,03-20
99,3.666084146612752,2463.8899236204716,2020.0,4.0,5.0,22886,2020-04-01,04-20
107,3.813796226182559,2627.181197891711,2020.0,5.0,5.0,25756,2020-05-01,05-20
115,3.7832101305897017,2644.0520234452138,2020.0,6.0,5.0,55708,2020-06-01,06-20
121,3.683009902367582,2604.394058613216,2020.0,7.0,5.0,61337,2020-07-01,07-20
128,3.602742681548016,2551.605427406172,2020.0,8.0,5.0,100278,2020-08-01,08-20
135,3.56440119632906,2512.616784597508,2020.0,9.0,5.0,80637,2020-09-01,09-20
142,3.6044067281661283,2544.3543960578127,2020.0,10.0,5.0,30791,2020-10-01,10-20
150,3.555970548554893,2512.1545750608175,2020.0,11.0,5.0,15811,2020-11-01,11-20
158,3.489237476208802,2677.521334122755,2020.0,12.0,5.0,4370,2020-12-01,12-20
166,3.377922881386809,2518.050356506239,2021.0,1.0,5.0,5154,2021-01-01,01-21
174,3.52715330071472,2658.6171143794822,2021.0,2.0,5.0,1696,2021-02-01,02-21
182,3.6029924689835493,2601.768984035186,2021.0,3.0,5.0,26058,2021-03-01,03-21
188,3.6287038572028996,2538.3596987738238,2021.0,4.0,5.0,13399,2021-04-01,04-21
196,3.87057955505472,2627.7719038933265,2021.0,5.0,5.0,42342,2021-05-01,05-21
204,3.8408067430023296,2661.327928923988,2021.0,6.0,5.0,71451,2021-06-01,06-21
212,3.844645873331439,2704.2180600667693,2021.0,7.0,5.0,12832,2021-07-01,07-21
220,3.640556473976325,2601.5268963191706,2021.0,8.0,5.0,70578,2021-08-01,08-21
228,3.6664992501950273,2579.0587809373355,2021.0,9.0,5.0,29282,2021-09-01,09-21
235,3.5301608619854377,2447.5175879396984,2021.0,10.0,5.0,6484,2021-10-01,10-21
243,3.528830523696838,2427.3599324161237,2021.0,11.0,5.0,3238,2021-11-01,11-21
250,3.508766712720288,2363.201047995628,2021.0,12.0,5.0,10993,2021-12-01,12-21
258,3.5029030246039192,2336.6412176347094,2022.0,1.0,5.0,16876,2022-01-01,01-22
266,3.5504412142709922,2367.933544721892,2022.0,2.0,5.0,15001,2022-02-01,02-22
273,3.59511506757964,2441.6714761746084,2022.0,3.0,5.0,21106,2022-03-01,03-22
281,3.670465651269277,2545.1035703404955,2022.0,4.0,5.0,23913,2022-04-01,04-22
289,3.680141093766533,2571.912271814788,2022.0,5.0,5.0,23910,2022-05-01,05-22
295,,,2022.0,6.0,5.0,5478,2022-06-01,06-22
5,,,2019.0,4.0,6.0,20241,2019-04-01,04-19
13,0.7371289337168735,1051.6679490262081,2019.0,5.0,6.0,57750,2019-05-01,05-19
21,0.6810611867288918,1022.4931883433821,2019.0,6.0,6.0,38461,2019-06-01,06-19
29,0.6615937296083408,1034.0620419784973,2019.0,7.0,6.0,43109,2019-07-01,07-19
37,0.5985379414555301,1007.4120325933792,2019.0,8.0,6.0,46972,2019-08-01,08-19
45,0.5894895177539411,991.0612978369385,2019.0,9.0,6.0,56820,2019-09-01,09-19
53,0.5969772750538879,962.5175035939127,2019.0,10.0,6.0,31433,2019-10-01,10-19
61,0.7720455926942484,997.4730897646853,2019.0,11.0,6.0,12612,2019-11-01,11-19
69,0.8654390324164766,1022.2122430741733,2019.0,12.0,6.0,18552,2019-12-01,12-19
77,0.9085098208261154,1048.6793273025316,2020.0,1.0,6.0,40452,2020-01-01,01-20
85,0.9157542421213763,1045.8824147813189,2020.0,2.0,6.0,23351,2020-02-01,02-20
93,0.9308394418145794,1062.406528785749,2020.0,3.0,6.0,5636,2020-03-01,03-20
100,0.8616074949974573,1059.800459664445,2020.0,4.0,6.0,40735,2020-04-01,04-20
108,0.7926434731289239,1042.7271693630212,2020.0,5.0,6.0,84159,2020-05-01,05-20
116,0.7560004653885063,1036.2322784117478,2020.0,6.0,6.0,71235,2020-06-01,06-20
122,0.6503554640165081,997.2078674068368,2020.0,7.0,6.0,45632,2020-07-01,07-20
129,0.6059593367786549,977.0889068462402,2020.0,8.0,6.0,109027,2020-08-01,08-20
136,0.6105254853021126,977.5098922802266,2020.0,9.0,6.0,68091,2020-09-01,09-20
143,0.7595697668303816,1025.524256991648,2020.0,10.0,6.0,54780,2020-10-01,10-20
151,1.0132092928095633,1121.5382337182998,2020.0,11.0,6.0,37928,2020-11-01,11-20
159,1.1049174497854062,1130.4694161765817,2020.0,12.0,6.0,41676,2020-12-01,12-20
167,1.0724495597773573,1114.887484814188,2021.0,1.0,6.0,39593,2021-01-01,01-21
175,0.8979363067101918,1031.2941031732564,2021.0,2.0,6.0,15038,2021-02-01,02-21
183,0.9209165435451465,1042.7063840869876,2021.0,3.0,6.0,63229,2021-03-01,03-21
189,0.8640203270366078,1018.8827838827839,2021.0,4.0,6.0,13884,2021-04-01,04-21
197,0.6931217370496099,936.5085177334298,2021.0,5.0,6.0,2057,2021-05-01,05-21
205,0.7497903372897123,1005.253846040494,2021.0,6.0,6.0,61427,2021-06-01,06-21
213,0.7121936431694755,992.3720345131774,2021.0,7.0,6.0,72240,2021-07-01,07-21
221,0.6776793912382381,987.0308938494867,2021.0,8.0,6.0,57912,2021-08-01,08-21
229,0.6291421013942686,949.7073093540006,2021.0,9.0,6.0,60954,2021-09-01,09-21
236,0.666458463860781,952.9762532662344,2021.0,10.0,6.0,17001,2021-10-01,10-21
244,1.0217136356007148,1079.661524128936,2021.0,11.0,6.0,4709,2021-11-01,11-21
251,1.0527588293662193,1033.8083116517826,2021.0,12.0,6.0,5125,2021-12-01,12-21
259,0.94534548574935,959.2979071082899,2022.0,1.0,6.0,4387,2022-01-01,01-22
267,0.8916092814941857,969.209397986837,2022.0,2.0,6.0,6399,2022-02-01,02-22
274,0.8950099497832197,1023.3330330122208,2022.0,3.0,6.0,30542,2022-03-01,03-22
282,0.9024421966023849,1030.1283357593402,2022.0,4.0,6.0,49633,2022-04-01,04-22
290,0.9153398328902014,1050.3715830096728,2022.0,5.0,6.0,31119,2022-05-01,05-22
296,,,2022.0,6.0,6.0,94,2022-06-01,06-22
6,,,2019.0,4.0,7.0,18999,2019-04-01,04-19
14,0.44852986913073883,805.398663235312,2019.0,5.0,7.0,59731,2019-05-01,05-19
22,0.4271385463804889,798.6608876515538,2019.0,6.0,7.0,85248,2019-06-01,06-19
30,0.34722605116098715,776.3695761692242,2019.0,7.0,7.0,9834,2019-07-01,07-19
38,0.284377504804178,763.6627123177745,2019.0,8.0,7.0,73641,2019-08-01,08-19
46,0.28342843422603914,765.2534315910696,2019.0,9.0,7.0,66065,2019-09-01,09-19
54,0.32055859189747016,799.4794895829846,2019.0,10.0,7.0,75646,2019-10-01,10-19
62,0.46385213731329034,861.3894646733315,2019.0,11.0,7.0,37515,2019-11-01,11-19
70,0.6266959414664028,931.4816989140621,2019.0,12.0,7.0,50384,2019-12-01,12-19
78,0.7179667794549786,904.1426455459289,2020.0,1.0,7.0,20947,2020-01-01,01-20
86,0.7031577204747927,869.7271282842471,2020.0,2.0,7.0,90027,2020-02-01,02-20
94,0.6944421667288643,867.5,2020.0,3.0,7.0,62734,2020-03-01,03-20
101,0.5787885097191539,829.5892099552848,2020.0,4.0,7.0,33473,2020-04-01,04-20
109,0.4971052005455031,810.9560585401327,2020.0,5.0,7.0,78454,2020-05-01,05-20
117,0.46981532668974224,798.8043499161423,2020.0,6.0,7.0,108093,2020-06-01,06-20
123,0.45267850767650225,815.6155196665799,2020.0,7.0,7.0,675,2020-07-01,07-20
130,0.37286227740767847,791.5234052352038,2020.0,8.0,7.0,83182,2020-08-01,08-20
137,0.3784936561341591,793.0063384814897,2020.0,9.0,7.0,115906,2020-09-01,09-20
144,0.5084306996126298,796.2657450668104,2020.0,10.0,7.0,13739,2020-10-01,10-20
152,0.7208238967777278,837.0622077572577,2020.0,11.0,7.0,78182,2020-11-01,11-20
160,0.717044876897628,839.0674426490125,2020.0,12.0,7.0,145895,2020-12-01,12-20
